,ds,y
0,2020-02-04,1
1,2020-02-05,0
2,2020-02-06,0
3,2020-02-07,0
4,2020-02-08,0
5,2020-02-09,0
6,2020-02-10,0
7,2020-02-11,0
8,2020-02-12,0
9,2020-02-13,0
10,2020-02-14,0
11,2020-02-15,0
12,2020-02-16,0
13,2020-02-17,0
14,2020-02-18,0
15,2020-02-19,0
16,2020-02-20,0
17,2020-02-21,0
18,2020-02-22,0
19,2020-02-23,0
20,2020-02-24,0
21,2020-02-25,0
22,2020-02-26,1
23,2020-02-27,1
24,2020-02-28,8
25,2020-02-29,3
26,2020-03-01,0
27,2020-03-02,5
28,2020-03-03,13
29,2020-03-04,30
30,2020-03-05,25
31,2020-03-06,59
32,2020-03-07,33
33,2020-03-08,46
34,2020-03-09,101
35,2020-03-10,98
36,2020-03-11,196
37,2020-03-12,151
38,2020-03-13,152
39,2020-03-14,71
40,2020-03-15,69
41,2020-03-16,83
42,2020-03-17,119
43,2020-03-18,145
44,2020-03-19,143
45,2020-03-20,180
46,2020-03-21,134
47,2020-03-22,117
48,2020-03-23,182
49,2020-03-24,230
50,2020-03-25,314
51,2020-03-26,286
52,2020-03-27,366
53,2020-03-28,300
54,2020-03-29,281
55,2020-03-30,416
56,2020-03-31,475
57,2020-04-01,486
58,2020-04-02,554
59,2020-04-03,601
60,2020-04-04,357
61,2020-04-05,340
62,2020-04-06,389
63,2020-04-07,738
64,2020-04-08,655
65,2020-04-09,645
66,2020-04-10,454
67,2020-04-11,395
68,2020-04-12,464
69,2020-04-13,437
70,2020-04-14,480
71,2020-04-15,604
72,2020-04-16,623
73,2020-04-17,688
74,2020-04-18,532
75,2020-04-19,389
76,2020-04-20,462
77,2020-04-21,708
78,2020-04-22,722
79,2020-04-23,753
80,2020-04-24,777
81,2020-04-25,474
82,2020-04-26,300
83,2020-04-27,547
84,2020-04-28,726
85,2020-04-29,778
86,2020-04-30,597
87,2020-05-01,532
88,2020-05-02,298
89,2020-05-03,258
90,2020-05-04,459
91,2020-05-05,637
92,2020-05-06,729
93,2020-05-07,751
94,2020-05-08,685
95,2020-05-09,509
96,2020-05-10,278
97,2020-05-11,411
98,2020-05-12,706
99,2020-05-13,659
100,2020-05-14,626
101,2020-05-15,604
102,2020-05-16,26
