,Country,Date,Number
0,Denmark,2020-01-30,0
1,Finland,2020-01-30,1
2,Norway,2020-01-30,0
3,Sweden,2020-01-30,0
4,Denmark,2020-01-31,0
5,Finland,2020-01-31,1
6,Norway,2020-01-31,0
7,Sweden,2020-01-31,1
8,Denmark,2020-02-01,0
9,Finland,2020-02-01,1
10,Norway,2020-02-01,0
11,Sweden,2020-02-01,1
12,Denmark,2020-02-02,0
13,Finland,2020-02-02,1
14,Norway,2020-02-02,0
15,Sweden,2020-02-02,1
16,Denmark,2020-02-03,0
17,Finland,2020-02-03,1
18,Norway,2020-02-03,0
19,Sweden,2020-02-03,1
20,Denmark,2020-02-04,0
21,Finland,2020-02-04,1
22,Norway,2020-02-04,0
23,Sweden,2020-02-04,1
24,Denmark,2020-02-05,0
25,Finland,2020-02-05,1
26,Norway,2020-02-05,0
27,Sweden,2020-02-05,1
28,Denmark,2020-02-06,0
29,Finland,2020-02-06,1
30,Norway,2020-02-06,0
31,Sweden,2020-02-06,1
32,Denmark,2020-02-07,0
33,Finland,2020-02-07,1
34,Norway,2020-02-07,0
35,Sweden,2020-02-07,1
36,Denmark,2020-02-08,0
37,Finland,2020-02-08,1
38,Norway,2020-02-08,0
39,Sweden,2020-02-08,1
40,Denmark,2020-02-09,0
41,Finland,2020-02-09,1
42,Norway,2020-02-09,0
43,Sweden,2020-02-09,1
44,Denmark,2020-02-10,0
45,Finland,2020-02-10,1
46,Norway,2020-02-10,0
47,Sweden,2020-02-10,1
48,Denmark,2020-02-11,0
49,Finland,2020-02-11,1
50,Norway,2020-02-11,0
51,Sweden,2020-02-11,1
52,Denmark,2020-02-12,0
53,Finland,2020-02-12,1
54,Norway,2020-02-12,0
55,Sweden,2020-02-12,1
56,Denmark,2020-02-13,0
57,Finland,2020-02-13,1
58,Norway,2020-02-13,0
59,Sweden,2020-02-13,1
60,Denmark,2020-02-14,0
61,Finland,2020-02-14,1
62,Norway,2020-02-14,0
63,Sweden,2020-02-14,1
64,Denmark,2020-02-15,0
