,Country,Date,Number
0,Denmark,2020-01-30,0.0
1,Finland,2020-01-30,0.0
2,Norway,2020-01-30,0.0
3,Sweden,2020-01-30,0.0
4,Denmark,2020-01-31,0.0
5,Finland,2020-01-31,0.0
6,Norway,2020-01-31,0.0
7,Sweden,2020-01-31,0.0
8,Denmark,2020-02-01,0.0
9,Finland,2020-02-01,0.0
10,Norway,2020-02-01,0.0
11,Sweden,2020-02-01,0.0
12,Denmark,2020-02-02,0.0
13,Finland,2020-02-02,0.0
14,Norway,2020-02-02,0.0
15,Sweden,2020-02-02,0.0
16,Denmark,2020-02-03,0.0
17,Finland,2020-02-03,0.0
18,Norway,2020-02-03,0.0
19,Sweden,2020-02-03,0.0
20,Denmark,2020-02-04,0.0
21,Finland,2020-02-04,0.0
22,Norway,2020-02-04,0.0
23,Sweden,2020-02-04,0.0
24,Denmark,2020-02-05,0.0
25,Finland,2020-02-05,0.0
26,Norway,2020-02-05,0.0
27,Sweden,2020-02-05,0.0
28,Denmark,2020-02-06,0.0
29,Finland,2020-02-06,0.0
30,Norway,2020-02-06,0.0
31,Sweden,2020-02-06,0.0
32,Denmark,2020-02-07,0.0
33,Finland,2020-02-07,0.0
34,Norway,2020-02-07,0.0
35,Sweden,2020-02-07,0.0
36,Denmark,2020-02-08,0.0
37,Finland,2020-02-08,0.0
38,Norway,2020-02-08,0.0
39,Sweden,2020-02-08,0.0
40,Denmark,2020-02-09,0.0
41,Finland,2020-02-09,0.0
42,Norway,2020-02-09,0.0
43,Sweden,2020-02-09,0.0
44,Denmark,2020-02-10,0.0
45,Finland,2020-02-10,0.0
46,Norway,2020-02-10,0.0
47,Sweden,2020-02-10,0.0
48,Denmark,2020-02-11,0.0
49,Finland,2020-02-11,0.0
50,Norway,2020-02-11,0.0
51,Sweden,2020-02-11,0.0
52,Denmark,2020-02-12,0.0
53,Finland,2020-02-12,0.0
54,Norway,2020-02-12,0.0
55,Sweden,2020-02-12,0.0
56,Denmark,2020-02-13,0.0
57,Finland,2020-02-13,0.0
58,Norway,2020-02-13,0.0
59,Sweden,2020-02-13,0.0
60,Denmark,2020-02-14,0.0
61,Finland,2020-02-14,0.0
62,Norway,2020-02-14,0.0
63,Sweden,2020-02-14,0.0
64,Denmark,2020-02-15,0.0
65,Finland,2020-02-15,0.0
66,Norway,2020-02-15,0.0
67,Sweden,2020-02-15,0.0
68,Denmark,2020-02-16,0.0
69,Finland,2020-02-16,0.0
70,Norway,2020-02-16,0.0
71,Sweden,2020-02-16,0.0
72,Denmark,2020-02-17,0.0
73,Finland,2020-02-17,0.0
74,Norway,2020-02-17,0.0
75,Sweden,2020-02-17,0.0
76,Denmark,2020-02-18,0.0
77,Finland,2020-02-18,0.0
78,Norway,2020-02-18,0.0
79,Sweden,2020-02-18,0.0
80,Denmark,2020-02-19,0.0
81,Finland,2020-02-19,0.0
82,Norway,2020-02-19,0.0
83,Sweden,2020-02-19,0.0
84,Denmark,2020-02-20,0.0
85,Finland,2020-02-20,0.0
86,Norway,2020-02-20,0.0
87,Sweden,2020-02-20,0.0
88,Denmark,2020-02-21,0.0
89,Finland,2020-02-21,0.0
90,Norway,2020-02-21,0.0
91,Sweden,2020-02-21,0.0
92,Denmark,2020-02-22,0.0
93,Finland,2020-02-22,0.0
94,Norway,2020-02-22,0.0
95,Sweden,2020-02-22,0.0
96,Denmark,2020-02-23,0.0
97,Finland,2020-02-23,0.0
98,Norway,2020-02-23,0.0
99,Sweden,2020-02-23,0.0
100,Denmark,2020-02-24,0.0
101,Finland,2020-02-24,0.0
102,Norway,2020-02-24,0.0
103,Sweden,2020-02-24,0.0
104,Denmark,2020-02-25,0.0
105,Finland,2020-02-25,0.0
106,Norway,2020-02-25,0.0
107,Sweden,2020-02-25,0.0
108,Denmark,2020-02-26,0.0
109,Finland,2020-02-26,0.0
110,Norway,2020-02-26,0.0
111,Sweden,2020-02-26,0.0
112,Denmark,2020-02-27,0.0
113,Finland,2020-02-27,0.0
114,Norway,2020-02-27,0.0
115,Sweden,2020-02-27,0.0
116,Denmark,2020-02-28,0.0
117,Finland,2020-02-28,0.0
118,Norway,2020-02-28,0.0
119,Sweden,2020-02-28,0.0
120,Denmark,2020-02-29,0.0
121,Finland,2020-02-29,0.0
122,Norway,2020-02-29,0.0
123,Sweden,2020-02-29,0.0
124,Denmark,2020-03-01,0.0
125,Finland,2020-03-01,0.0
126,Norway,2020-03-01,0.0
127,Sweden,2020-03-01,0.0
128,Denmark,2020-03-02,0.0
129,Finland,2020-03-02,0.0
130,Norway,2020-03-02,0.0
131,Sweden,2020-03-02,0.0
132,Denmark,2020-03-03,0.0
133,Finland,2020-03-03,0.0
134,Norway,2020-03-03,0.0
135,Sweden,2020-03-03,0.0
136,Denmark,2020-03-04,0.0
137,Finland,2020-03-04,0.0
138,Norway,2020-03-04,0.0
139,Sweden,2020-03-04,0.0
140,Denmark,2020-03-05,0.0
141,Finland,2020-03-05,0.0
142,Norway,2020-03-05,0.0
143,Sweden,2020-03-05,0.0
144,Denmark,2020-03-06,0.0
145,Finland,2020-03-06,0.0
146,Norway,2020-03-06,0.0
147,Sweden,2020-03-06,0.0
148,Denmark,2020-03-07,0.0
149,Finland,2020-03-07,0.0
150,Norway,2020-03-07,0.0
151,Sweden,2020-03-07,0.0
152,Denmark,2020-03-08,0.0
153,Finland,2020-03-08,0.0
154,Norway,2020-03-08,0.0
155,Sweden,2020-03-08,0.0
156,Denmark,2020-03-09,0.0
157,Finland,2020-03-09,0.0
158,Norway,2020-03-09,0.0
159,Sweden,2020-03-09,0.0
160,Denmark,2020-03-10,0.0
161,Finland,2020-03-10,0.0
162,Norway,2020-03-10,0.0
163,Sweden,2020-03-10,0.0
164,Denmark,2020-03-11,0.0
165,Finland,2020-03-11,0.0
166,Norway,2020-03-11,0.0
167,Sweden,2020-03-11,0.09775171065493646
168,Denmark,2020-03-12,0.0
169,Finland,2020-03-12,0.0
170,Norway,2020-03-12,0.0
171,Sweden,2020-03-12,0.09775171065493646
172,Denmark,2020-03-13,0.0
173,Finland,2020-03-13,0.0
174,Norway,2020-03-13,0.0
175,Sweden,2020-03-13,0.09775171065493646
176,Denmark,2020-03-14,0.17211703958691912
177,Finland,2020-03-14,0.0
178,Norway,2020-03-14,0.5586592178770949
179,Sweden,2020-03-14,0.19550342130987292
180,Denmark,2020-03-15,0.34423407917383825
181,Finland,2020-03-15,0.0
182,Norway,2020-03-15,0.5586592178770949
183,Sweden,2020-03-15,0.29325513196480935
184,Denmark,2020-03-16,0.5163511187607573
185,Finland,2020-03-16,0.0
186,Norway,2020-03-16,0.5586592178770949
187,Sweden,2020-03-16,0.5865102639296187
188,Denmark,2020-03-17,0.6884681583476765
189,Finland,2020-03-17,0.0
190,Norway,2020-03-17,0.5586592178770949
191,Sweden,2020-03-17,0.6842619745845552
192,Denmark,2020-03-18,0.6884681583476765
193,Finland,2020-03-18,0.0
194,Norway,2020-03-18,1.1173184357541899
195,Sweden,2020-03-18,0.9775171065493645
196,Denmark,2020-03-19,1.0327022375215147
197,Finland,2020-03-19,0.0
198,Norway,2020-03-19,1.303538175046555
199,Sweden,2020-03-19,1.075268817204301
200,Denmark,2020-03-20,1.5490533562822721
201,Finland,2020-03-20,0.0
202,Norway,2020-03-20,1.303538175046555
203,Sweden,2020-03-20,1.5640273704789833
204,Denmark,2020-03-21,2.2375215146299485
205,Finland,2020-03-21,0.1811594202898551
206,Norway,2020-03-21,1.303538175046555
207,Sweden,2020-03-21,1.955034213098729
208,Denmark,2020-03-22,2.2375215146299485
209,Finland,2020-03-22,0.1811594202898551
210,Norway,2020-03-22,1.303538175046555
211,Sweden,2020-03-22,2.0527859237536656
212,Denmark,2020-03-23,4.130808950086059
213,Finland,2020-03-23,0.1811594202898551
214,Norway,2020-03-23,1.86219739292365
215,Sweden,2020-03-23,2.4437927663734116
216,Denmark,2020-03-24,5.507745266781412
217,Finland,2020-03-24,0.1811594202898551
218,Norway,2020-03-24,2.2346368715083798
219,Sweden,2020-03-24,3.5190615835777126
220,Denmark,2020-03-25,5.85197934595525
221,Finland,2020-03-25,0.5434782608695653
222,Norway,2020-03-25,2.60707635009311
223,Sweden,2020-03-25,6.0606060606060606
224,Denmark,2020-03-26,7.056798623063684
225,Finland,2020-03-26,0.9057971014492754
226,Norway,2020-03-26,2.60707635009311
227,Sweden,2020-03-26,7.526881720430107
228,Denmark,2020-03-27,8.950086058519794
229,Finland,2020-03-27,1.2681159420289856
230,Norway,2020-03-27,3.538175046554935
231,Sweden,2020-03-27,10.263929618768328
232,Denmark,2020-03-28,11.187607573149743
233,Finland,2020-03-28,1.6304347826086958
234,Norway,2020-03-28,4.283054003724395
235,Sweden,2020-03-28,10.263929618768328
236,Denmark,2020-03-29,12.392426850258177
237,Finland,2020-03-29,1.992753623188406
238,Norway,2020-03-29,4.655493482309125
239,Sweden,2020-03-29,10.75268817204301
240,Denmark,2020-03-30,13.253012048192772
241,Finland,2020-03-30,2.355072463768116
242,Norway,2020-03-30,5.95903165735568
243,Sweden,2020-03-30,14.271749755620723
244,Denmark,2020-03-31,15.490533562822721
245,Finland,2020-03-31,3.0797101449275366
246,Norway,2020-03-31,7.262569832402234
247,Sweden,2020-03-31,17.59530791788856
248,Denmark,2020-04-01,17.900172117039588
249,Finland,2020-04-01,3.0797101449275366
250,Norway,2020-04-01,8.193668528864059
251,Sweden,2020-04-01,23.362658846529815
252,Denmark,2020-04-02,21.17039586919105
253,Finland,2020-04-02,3.4420289855072466
254,Norway,2020-04-02,9.31098696461825
255,Sweden,2020-04-02,30.10752688172043
256,Denmark,2020-04-03,23.924268502581757
257,Finland,2020-04-03,3.6231884057971016
258,Norway,2020-04-03,10.986964618249534
259,Sweden,2020-04-03,34.99511241446725
260,Denmark,2020-04-04,27.71084337349398
261,Finland,2020-04-04,4.528985507246377
262,Norway,2020-04-04,11.545623836126628
263,Sweden,2020-04-04,36.4613880742913
264,Denmark,2020-04-05,30.808950086058523
265,Finland,2020-04-05,5.072463768115942
266,Norway,2020-04-05,13.221601489757914
267,Sweden,2020-04-05,39.19843597262952
268,Denmark,2020-04-06,32.18588640275387
269,Finland,2020-04-06,4.891304347826087
270,Norway,2020-04-06,14.15270018621974
271,Sweden,2020-04-06,46.62756598240469
272,Denmark,2020-04-07,34.93975903614458
273,Finland,2020-04-07,6.159420289855073
274,Norway,2020-04-07,16.573556797020483
275,Sweden,2020-04-07,57.771260997067444
276,Denmark,2020-04-08,37.52151462994837
277,Finland,2020-04-08,7.246376811594203
278,Norway,2020-04-08,18.808193668528865
279,Sweden,2020-04-08,67.15542521994135
280,Denmark,2020-04-09,40.79173838209983
281,Finland,2020-04-09,7.608695652173914
282,Norway,2020-04-09,20.11173184357542
283,Sweden,2020-04-09,77.51710654936461
284,Denmark,2020-04-10,42.512908777969024
285,Finland,2020-04-10,8.695652173913045
286,Norway,2020-04-10,21.042830540037244
287,Sweden,2020-04-10,85.04398826979472
288,Denmark,2020-04-11,44.75043029259897
289,Finland,2020-04-11,8.876811594202898
290,Norway,2020-04-11,22.160148975791433
291,Sweden,2020-04-11,86.70576735092864
292,Denmark,2020-04-12,46.98795180722892
293,Finland,2020-04-12,10.144927536231885
294,Norway,2020-04-12,23.83612662942272
295,Sweden,2020-04-12,87.87878787878788
296,Denmark,2020-04-13,49.05335628227195
297,Finland,2020-04-13,10.68840579710145
298,Norway,2020-04-13,24.953445065176908
299,Sweden,2020-04-13,89.8338220918866
300,Denmark,2020-04-14,51.46299483648882
301,Finland,2020-04-14,11.594202898550726
302,Norway,2020-04-14,25.88454376163873
303,Sweden,2020-04-14,100.97751710654936
304,Denmark,2020-04-15,53.184165232358005
305,Finland,2020-04-15,13.043478260869566
306,Norway,2020-04-15,27.932960893854748
307,Sweden,2020-04-15,117.59530791788856
308,Denmark,2020-04-16,55.24956970740104
309,Finland,2020-04-16,13.58695652173913
310,Norway,2020-04-16,28.30540037243948
311,Sweden,2020-04-16,130.3030303030303
312,Denmark,2020-04-17,57.83132530120482
313,Finland,2020-04-17,14.855072463768117
314,Norway,2020-04-17,29.981378026070765
315,Sweden,2020-04-17,136.85239491691104
316,Denmark,2020-04-18,59.552495697074015
317,Finland,2020-04-18,16.304347826086957
318,Norway,2020-04-18,30.540037243947857
319,Sweden,2020-04-18,147.70283479960898
320,Denmark,2020-04-19,61.10154905335629
321,Finland,2020-04-19,17.02898550724638
322,Norway,2020-04-19,30.726256983240223
323,Sweden,2020-04-19,150.53763440860214
324,Denmark,2020-04-20,62.65060240963856
325,Finland,2020-04-20,17.753623188405797
326,Norway,2020-04-20,33.70577281191806
327,Sweden,2020-04-20,154.4477028347996
328,Denmark,2020-04-21,63.68330464716007
329,Finland,2020-04-21,25.543478260869566
330,Norway,2020-04-21,33.89199255121043
331,Sweden,2020-04-21,172.53176930596285
332,Denmark,2020-04-22,66.09294320137694
333,Finland,2020-04-22,26.992753623188406
334,Norway,2020-04-22,34.82309124767225
335,Sweden,2020-04-22,189.34506353861192
336,Denmark,2020-04-23,67.81411359724613
337,Finland,2020-04-23,31.159420289855074
338,Norway,2020-04-23,36.12662942271881
339,Sweden,2020-04-23,197.5562072336266
340,Denmark,2020-04-24,69.3631669535284
341,Finland,2020-04-24,32.06521739130435
342,Norway,2020-04-24,37.05772811918063
343,Sweden,2020-04-24,210.36168132942325
344,Denmark,2020-04-25,71.9449225473322
345,Finland,2020-04-25,33.69565217391305
346,Norway,2020-04-25,37.43016759776536
347,Sweden,2020-04-25,214.2717497556207
348,Denmark,2020-04-26,72.63339070567987
349,Finland,2020-04-26,34.42028985507247
350,Norway,2020-04-26,37.43016759776536
351,Sweden,2020-04-26,214.4672531769306
352,Denmark,2020-04-27,73.49397590361447
353,Finland,2020-04-27,34.96376811594203
354,Norway,2020-04-27,38.17504655493482
355,Sweden,2020-04-27,222.2873900293255
356,Denmark,2020-04-28,74.6987951807229
357,Finland,2020-04-28,36.050724637681164
358,Norway,2020-04-28,38.361266294227185
359,Sweden,2020-04-28,230.20527859237535
360,Denmark,2020-04-29,76.24784853700517
361,Finland,2020-04-29,37.31884057971015
362,Norway,2020-04-29,38.547486033519554
363,Sweden,2020-04-29,240.66471163245356
364,Denmark,2020-04-30,77.79690189328744
365,Finland,2020-04-30,38.22463768115942
366,Norway,2020-04-30,39.10614525139665
367,Sweden,2020-04-30,252.78592375366568
368,Denmark,2020-05-01,79.17383820998279
369,Finland,2020-05-01,39.492753623188406
370,Norway,2020-05-01,39.10614525139665
371,Sweden,2020-05-01,259.3352883675464
372,Denmark,2020-05-02,81.75559380378658
373,Finland,2020-05-02,39.85507246376812
374,Norway,2020-05-02,39.29236499068901
375,Sweden,2020-05-02,260.8993157380254
376,Denmark,2020-05-03,83.30464716006885
377,Finland,2020-05-03,41.66666666666667
378,Norway,2020-05-03,39.29236499068901
379,Sweden,2020-05-03,261.8768328445748
380,Denmark,2020-05-04,84.85370051635113
381,Finland,2020-05-04,43.47826086956522
382,Norway,2020-05-04,39.85102420856611
383,Sweden,2020-05-04,270.6744868035191
384,Denmark,2020-05-05,86.57487091222032
385,Finland,2020-05-05,44.56521739130435
386,Norway,2020-05-05,40.03724394785847
387,Sweden,2020-05-05,278.9833822091887
388,Denmark,2020-05-06,87.09122203098107
389,Finland,2020-05-06,45.652173913043484
390,Norway,2020-05-06,40.22346368715084
391,Sweden,2020-05-06,287.48778103616814
392,Denmark,2020-05-07,88.46815834767642
393,Finland,2020-05-07,46.19565217391305
394,Norway,2020-05-07,40.4096834264432
395,Sweden,2020-05-07,297.1652003910068
396,Denmark,2020-05-08,89.84509466437179
397,Finland,2020-05-08,47.10144927536232
398,Norway,2020-05-08,40.595903165735564
399,Sweden,2020-05-08,310.3616813294233
400,Denmark,2020-05-09,90.53356282271946
401,Finland,2020-05-09,48.0072463768116
402,Norway,2020-05-09,40.78212290502793
403,Sweden,2020-05-09,314.7605083088954
404,Denmark,2020-05-10,91.04991394148021
405,Finland,2020-05-10,48.369565217391305
406,Norway,2020-05-10,40.78212290502793
407,Sweden,2020-05-10,315.2492668621701
408,Denmark,2020-05-11,91.73838209982789
409,Finland,2020-05-11,49.094202898550726
410,Norway,2020-05-11,41.71322160148976
411,Sweden,2020-05-11,318.2795698924731
412,Denmark,2020-05-12,90.70567986230637
413,Finland,2020-05-12,49.81884057971015
414,Norway,2020-05-12,42.45810055865922
415,Sweden,2020-05-12,323.85141739980446
416,Denmark,2020-05-13,91.73838209982789
417,Finland,2020-05-13,51.44927536231884
418,Norway,2020-05-13,42.64432029795158
419,Sweden,2020-05-13,338.2209188660801
420,Denmark,2020-05-14,92.42685025817556
421,Finland,2020-05-14,51.99275362318841
422,Norway,2020-05-14,43.20297951582868
423,Sweden,2020-05-14,344.96578690127075
424,Denmark,2020-05-15,92.42685025817556
425,Finland,2020-05-15,53.07971014492754
426,Norway,2020-05-15,43.20297951582868
427,Sweden,2020-05-15,356.4027370478983
