,Country/Region,Date,Number of cases
0,Netherlands,2020-03-01,10
1,Poland,2020-03-01,0
2,Sweden,2020-03-01,14
3,Switzerland,2020-03-01,27
4,United Kingdom,2020-03-01,36
5,Netherlands,2020-03-02,18
6,Poland,2020-03-02,0
7,Sweden,2020-03-02,15
8,Switzerland,2020-03-02,42
9,United Kingdom,2020-03-02,40
10,Netherlands,2020-03-03,24
11,Poland,2020-03-03,0
12,Sweden,2020-03-03,21
13,Switzerland,2020-03-03,56
14,United Kingdom,2020-03-03,51
15,Netherlands,2020-03-04,38
16,Poland,2020-03-04,1
17,Sweden,2020-03-04,35
18,Switzerland,2020-03-04,90
19,United Kingdom,2020-03-04,85
20,Netherlands,2020-03-05,82
21,Poland,2020-03-05,1
22,Sweden,2020-03-05,94
23,Switzerland,2020-03-05,114
24,United Kingdom,2020-03-05,115
25,Netherlands,2020-03-06,128
26,Poland,2020-03-06,5
27,Sweden,2020-03-06,101
28,Switzerland,2020-03-06,214
29,United Kingdom,2020-03-06,163
30,Netherlands,2020-03-07,188
31,Poland,2020-03-07,5
32,Sweden,2020-03-07,161
33,Switzerland,2020-03-07,268
34,United Kingdom,2020-03-07,206
35,Netherlands,2020-03-08,265
36,Poland,2020-03-08,11
37,Sweden,2020-03-08,203
38,Switzerland,2020-03-08,337
39,United Kingdom,2020-03-08,273
40,Netherlands,2020-03-09,321
41,Poland,2020-03-09,16
42,Sweden,2020-03-09,248
43,Switzerland,2020-03-09,374
44,United Kingdom,2020-03-09,321
45,Netherlands,2020-03-10,382
46,Poland,2020-03-10,22
47,Sweden,2020-03-10,355
48,Switzerland,2020-03-10,491
49,United Kingdom,2020-03-10,382
50,Netherlands,2020-03-11,503
51,Poland,2020-03-11,31
52,Sweden,2020-03-11,500
53,Switzerland,2020-03-11,652
54,United Kingdom,2020-03-11,456
55,Netherlands,2020-03-12,503
56,Poland,2020-03-12,49
57,Sweden,2020-03-12,599
58,Switzerland,2020-03-12,652
59,United Kingdom,2020-03-12,456
60,Netherlands,2020-03-13,804
61,Poland,2020-03-13,68
62,Sweden,2020-03-13,814
63,Switzerland,2020-03-13,1139
64,United Kingdom,2020-03-13,798
65,Netherlands,2020-03-14,959
66,Poland,2020-03-14,103
67,Sweden,2020-03-14,961
68,Switzerland,2020-03-14,1359
69,United Kingdom,2020-03-14,1140
70,Netherlands,2020-03-15,1135
71,Poland,2020-03-15,119
72,Sweden,2020-03-15,1022
73,Switzerland,2020-03-15,2200
74,United Kingdom,2020-03-15,1140
75,Netherlands,2020-03-16,1413
76,Poland,2020-03-16,177
77,Sweden,2020-03-16,1103
78,Switzerland,2020-03-16,2200
79,United Kingdom,2020-03-16,1543
80,Netherlands,2020-03-17,1705
81,Poland,2020-03-17,238
82,Sweden,2020-03-17,1190
83,Switzerland,2020-03-17,2700
84,United Kingdom,2020-03-17,1950
85,Netherlands,2020-03-18,2051
86,Poland,2020-03-18,251
87,Sweden,2020-03-18,1279
88,Switzerland,2020-03-18,3028
89,United Kingdom,2020-03-18,2626
90,Netherlands,2020-03-19,2460
91,Poland,2020-03-19,355
92,Sweden,2020-03-19,1439
93,Switzerland,2020-03-19,4075
94,United Kingdom,2020-03-19,2689
95,Netherlands,2020-03-20,2994
96,Poland,2020-03-20,425
97,Sweden,2020-03-20,1639
98,Switzerland,2020-03-20,5294
99,United Kingdom,2020-03-20,3983
100,Netherlands,2020-03-21,3631
101,Poland,2020-03-21,536
102,Sweden,2020-03-21,1763
103,Switzerland,2020-03-21,6575
104,United Kingdom,2020-03-21,5018
105,Netherlands,2020-03-22,4204
106,Poland,2020-03-22,634
107,Sweden,2020-03-22,1934
108,Switzerland,2020-03-22,7474
109,United Kingdom,2020-03-22,5683
110,Netherlands,2020-03-23,4749
111,Poland,2020-03-23,749
112,Sweden,2020-03-23,2046
113,Switzerland,2020-03-23,8795
114,United Kingdom,2020-03-23,6650
115,Netherlands,2020-03-24,5560
116,Poland,2020-03-24,901
117,Sweden,2020-03-24,2286
118,Switzerland,2020-03-24,9877
119,United Kingdom,2020-03-24,8077
120,Netherlands,2020-03-25,6412
121,Poland,2020-03-25,1051
122,Sweden,2020-03-25,2526
123,Switzerland,2020-03-25,10897
124,United Kingdom,2020-03-25,9529
125,Netherlands,2020-03-26,7431
126,Poland,2020-03-26,1221
127,Sweden,2020-03-26,2840
128,Switzerland,2020-03-26,11811
129,United Kingdom,2020-03-26,11658
130,Netherlands,2020-03-27,8603
131,Poland,2020-03-27,1389
132,Sweden,2020-03-27,3069
133,Switzerland,2020-03-27,12928
134,United Kingdom,2020-03-27,14543
135,Netherlands,2020-03-28,9762
136,Poland,2020-03-28,1638
137,Sweden,2020-03-28,3447
138,Switzerland,2020-03-28,14076
139,United Kingdom,2020-03-28,17089
140,Netherlands,2020-03-29,10866
141,Poland,2020-03-29,1862
142,Sweden,2020-03-29,3700
143,Switzerland,2020-03-29,14829
144,United Kingdom,2020-03-29,19522
145,Netherlands,2020-03-30,11750
146,Poland,2020-03-30,2055
147,Sweden,2020-03-30,4028
148,Switzerland,2020-03-30,15922
149,United Kingdom,2020-03-30,22141
150,Netherlands,2020-03-31,12595
151,Poland,2020-03-31,2311
152,Sweden,2020-03-31,4435
153,Switzerland,2020-03-31,16605
154,United Kingdom,2020-03-31,25150
155,Netherlands,2020-04-01,13614
156,Poland,2020-04-01,2554
157,Sweden,2020-04-01,4947
158,Switzerland,2020-04-01,17768
159,United Kingdom,2020-04-01,29474
160,Netherlands,2020-04-02,14697
161,Poland,2020-04-02,2946
162,Sweden,2020-04-02,5568
163,Switzerland,2020-04-02,18827
164,United Kingdom,2020-04-02,33718
165,Netherlands,2020-04-03,15723
166,Poland,2020-04-03,3383
167,Sweden,2020-04-03,6131
168,Switzerland,2020-04-03,19606
169,United Kingdom,2020-04-03,38168
170,Netherlands,2020-04-04,16627
171,Poland,2020-04-04,3627
172,Sweden,2020-04-04,6443
173,Switzerland,2020-04-04,20505
174,United Kingdom,2020-04-04,41903
175,Netherlands,2020-04-05,17851
176,Poland,2020-04-05,4102
177,Sweden,2020-04-05,6830
178,Switzerland,2020-04-05,21100
179,United Kingdom,2020-04-05,47806
180,Netherlands,2020-04-06,18803
181,Poland,2020-04-06,4413
182,Sweden,2020-04-06,7206
183,Switzerland,2020-04-06,21657
184,United Kingdom,2020-04-06,51608
185,Netherlands,2020-04-07,19580
186,Poland,2020-04-07,4848
187,Sweden,2020-04-07,7693
188,Switzerland,2020-04-07,22253
189,United Kingdom,2020-04-07,55242
190,Netherlands,2020-04-08,20549
191,Poland,2020-04-08,5205
192,Sweden,2020-04-08,8419
193,Switzerland,2020-04-08,23280
194,United Kingdom,2020-04-08,60733
195,Netherlands,2020-04-09,21762
196,Poland,2020-04-09,5575
197,Sweden,2020-04-09,9141
198,Switzerland,2020-04-09,24051
199,United Kingdom,2020-04-09,65077
200,Netherlands,2020-04-10,23097
201,Poland,2020-04-10,5955
202,Sweden,2020-04-10,9685
203,Switzerland,2020-04-10,24551
204,United Kingdom,2020-04-10,73758
205,Netherlands,2020-04-11,24413
206,Poland,2020-04-11,6356
207,Sweden,2020-04-11,10151
208,Switzerland,2020-04-11,25107
209,United Kingdom,2020-04-11,78991
210,Netherlands,2020-04-12,25587
211,Poland,2020-04-12,6674
212,Sweden,2020-04-12,10483
213,Switzerland,2020-04-12,25415
214,United Kingdom,2020-04-12,84279
215,Netherlands,2020-04-13,26551
216,Poland,2020-04-13,6934
217,Sweden,2020-04-13,10948
218,Switzerland,2020-04-13,25688
219,United Kingdom,2020-04-13,88621
220,Netherlands,2020-04-14,27419
221,Poland,2020-04-14,7202
222,Sweden,2020-04-14,11445
223,Switzerland,2020-04-14,25936
224,United Kingdom,2020-04-14,93873
225,Netherlands,2020-04-15,28153
226,Poland,2020-04-15,7582
227,Sweden,2020-04-15,11927
228,Switzerland,2020-04-15,26336
229,United Kingdom,2020-04-15,98476
230,Netherlands,2020-04-16,29214
231,Poland,2020-04-16,7918
232,Sweden,2020-04-16,12540
233,Switzerland,2020-04-16,26732
234,United Kingdom,2020-04-16,103093
235,Netherlands,2020-04-17,30449
236,Poland,2020-04-17,8379
237,Sweden,2020-04-17,13216
238,Switzerland,2020-04-17,27078
239,United Kingdom,2020-04-17,108692
240,Netherlands,2020-04-18,31589
241,Poland,2020-04-18,8742
242,Sweden,2020-04-18,13822
243,Switzerland,2020-04-18,27404
244,United Kingdom,2020-04-18,114217
245,Netherlands,2020-04-19,32655
246,Poland,2020-04-19,9287
247,Sweden,2020-04-19,14385
248,Switzerland,2020-04-19,27740
249,United Kingdom,2020-04-19,120067
250,Netherlands,2020-04-20,33405
251,Poland,2020-04-20,9593
252,Sweden,2020-04-20,14777
253,Switzerland,2020-04-20,27944
254,United Kingdom,2020-04-20,124743
255,Netherlands,2020-04-21,34134
256,Poland,2020-04-21,9856
257,Sweden,2020-04-21,15322
258,Switzerland,2020-04-21,28063
259,United Kingdom,2020-04-21,129044
260,Netherlands,2020-04-22,34842
261,Poland,2020-04-22,10169
262,Sweden,2020-04-22,16004
263,Switzerland,2020-04-22,28268
264,United Kingdom,2020-04-22,133495
265,Netherlands,2020-04-23,35729
266,Poland,2020-04-23,10511
267,Sweden,2020-04-23,16755
268,Switzerland,2020-04-23,28496
269,United Kingdom,2020-04-23,138078
