,Country,Date,Number
0,Netherlands,2020-01-30,0.0
1,Poland,2020-01-30,0.0
2,Sweden,2020-01-30,0.0
3,Switzerland,2020-01-30,0.0
4,United Kingdom,2020-01-30,0.0
5,Netherlands,2020-01-31,0.0
6,Poland,2020-01-31,0.0
7,Sweden,2020-01-31,0.09775171065493646
8,Switzerland,2020-01-31,0.0
9,United Kingdom,2020-01-31,0.030007501875468863
10,Netherlands,2020-02-01,0.0
11,Poland,2020-02-01,0.0
12,Sweden,2020-02-01,0.09775171065493646
13,Switzerland,2020-02-01,0.0
14,United Kingdom,2020-02-01,0.030007501875468863
15,Netherlands,2020-02-02,0.0
16,Poland,2020-02-02,0.0
17,Sweden,2020-02-02,0.09775171065493646
18,Switzerland,2020-02-02,0.0
19,United Kingdom,2020-02-02,0.030007501875468863
20,Netherlands,2020-02-03,0.0
21,Poland,2020-02-03,0.0
22,Sweden,2020-02-03,0.09775171065493646
23,Switzerland,2020-02-03,0.0
24,United Kingdom,2020-02-03,0.030007501875468863
25,Netherlands,2020-02-04,0.0
26,Poland,2020-02-04,0.0
27,Sweden,2020-02-04,0.09775171065493646
28,Switzerland,2020-02-04,0.0
29,United Kingdom,2020-02-04,0.030007501875468863
30,Netherlands,2020-02-05,0.0
31,Poland,2020-02-05,0.0
32,Sweden,2020-02-05,0.09775171065493646
33,Switzerland,2020-02-05,0.0
34,United Kingdom,2020-02-05,0.030007501875468863
35,Netherlands,2020-02-06,0.0
36,Poland,2020-02-06,0.0
37,Sweden,2020-02-06,0.09775171065493646
38,Switzerland,2020-02-06,0.0
39,United Kingdom,2020-02-06,0.030007501875468863
40,Netherlands,2020-02-07,0.0
41,Poland,2020-02-07,0.0
42,Sweden,2020-02-07,0.09775171065493646
43,Switzerland,2020-02-07,0.0
44,United Kingdom,2020-02-07,0.0450112528132033
45,Netherlands,2020-02-08,0.0
46,Poland,2020-02-08,0.0
47,Sweden,2020-02-08,0.09775171065493646
48,Switzerland,2020-02-08,0.0
49,United Kingdom,2020-02-08,0.0450112528132033
50,Netherlands,2020-02-09,0.0
51,Poland,2020-02-09,0.0
52,Sweden,2020-02-09,0.09775171065493646
53,Switzerland,2020-02-09,0.0
54,United Kingdom,2020-02-09,0.0450112528132033
55,Netherlands,2020-02-10,0.0
56,Poland,2020-02-10,0.0
57,Sweden,2020-02-10,0.09775171065493646
58,Switzerland,2020-02-10,0.0
59,United Kingdom,2020-02-10,0.12003000750187545
60,Netherlands,2020-02-11,0.0
61,Poland,2020-02-11,0.0
62,Sweden,2020-02-11,0.09775171065493646
63,Switzerland,2020-02-11,0.0
64,United Kingdom,2020-02-11,0.12003000750187545
65,Netherlands,2020-02-12,0.0
66,Poland,2020-02-12,0.0
67,Sweden,2020-02-12,0.09775171065493646
68,Switzerland,2020-02-12,0.0
69,United Kingdom,2020-02-12,0.13503375843960988
70,Netherlands,2020-02-13,0.0
71,Poland,2020-02-13,0.0
72,Sweden,2020-02-13,0.09775171065493646
73,Switzerland,2020-02-13,0.0
74,United Kingdom,2020-02-13,0.13503375843960988
75,Netherlands,2020-02-14,0.0
76,Poland,2020-02-14,0.0
77,Sweden,2020-02-14,0.09775171065493646
78,Switzerland,2020-02-14,0.0
79,United Kingdom,2020-02-14,0.13503375843960988
80,Netherlands,2020-02-15,0.0
81,Poland,2020-02-15,0.0
82,Sweden,2020-02-15,0.09775171065493646
83,Switzerland,2020-02-15,0.0
84,United Kingdom,2020-02-15,0.13503375843960988
85,Netherlands,2020-02-16,0.0
86,Poland,2020-02-16,0.0
87,Sweden,2020-02-16,0.09775171065493646
88,Switzerland,2020-02-16,0.0
89,United Kingdom,2020-02-16,0.13503375843960988
90,Netherlands,2020-02-17,0.0
91,Poland,2020-02-17,0.0
92,Sweden,2020-02-17,0.09775171065493646
93,Switzerland,2020-02-17,0.0
94,United Kingdom,2020-02-17,0.13503375843960988
95,Netherlands,2020-02-18,0.0
96,Poland,2020-02-18,0.0
97,Sweden,2020-02-18,0.09775171065493646
98,Switzerland,2020-02-18,0.0
99,United Kingdom,2020-02-18,0.13503375843960988
100,Netherlands,2020-02-19,0.0
101,Poland,2020-02-19,0.0
102,Sweden,2020-02-19,0.09775171065493646
103,Switzerland,2020-02-19,0.0
104,United Kingdom,2020-02-19,0.13503375843960988
105,Netherlands,2020-02-20,0.0
106,Poland,2020-02-20,0.0
107,Sweden,2020-02-20,0.09775171065493646
108,Switzerland,2020-02-20,0.0
109,United Kingdom,2020-02-20,0.13503375843960988
110,Netherlands,2020-02-21,0.0
111,Poland,2020-02-21,0.0
112,Sweden,2020-02-21,0.09775171065493646
113,Switzerland,2020-02-21,0.0
114,United Kingdom,2020-02-21,0.13503375843960988
115,Netherlands,2020-02-22,0.0
116,Poland,2020-02-22,0.0
117,Sweden,2020-02-22,0.09775171065493646
118,Switzerland,2020-02-22,0.0
119,United Kingdom,2020-02-22,0.13503375843960988
120,Netherlands,2020-02-23,0.0
121,Poland,2020-02-23,0.0
122,Sweden,2020-02-23,0.09775171065493646
123,Switzerland,2020-02-23,0.0
124,United Kingdom,2020-02-23,0.13503375843960988
125,Netherlands,2020-02-24,0.0
126,Poland,2020-02-24,0.0
127,Sweden,2020-02-24,0.09775171065493646
128,Switzerland,2020-02-24,0.0
129,United Kingdom,2020-02-24,0.19504876219054762
130,Netherlands,2020-02-25,0.0
131,Poland,2020-02-25,0.0
132,Sweden,2020-02-25,0.09775171065493646
