,Country,Date,Number
0,Poland,2020-01-30,0.0
1,Sweden,2020-01-30,0.0
2,Switzerland,2020-01-30,0.0
3,United Kingdom,2020-01-30,0.0
4,Poland,2020-01-31,0.0
5,Sweden,2020-01-31,0.09775171065493646
6,Switzerland,2020-01-31,0.0
7,United Kingdom,2020-01-31,0.030007501875468863
8,Poland,2020-02-01,0.0
9,Sweden,2020-02-01,0.09775171065493646
10,Switzerland,2020-02-01,0.0
11,United Kingdom,2020-02-01,0.030007501875468863
12,Poland,2020-02-02,0.0
13,Sweden,2020-02-02,0.09775171065493646
14,Switzerland,2020-02-02,0.0
15,United Kingdom,2020-02-02,0.030007501875468863
16,Poland,2020-02-03,0.0
17,Sweden,2020-02-03,0.09775171065493646
18,Switzerland,2020-02-03,0.0
19,United Kingdom,2020-02-03,0.030007501875468863
20,Poland,2020-02-04,0.0
21,Sweden,2020-02-04,0.09775171065493646
22,Switzerland,2020-02-04,0.0
23,United Kingdom,2020-02-04,0.030007501875468863
24,Poland,2020-02-05,0.0
25,Sweden,2020-02-05,0.09775171065493646
26,Switzerland,2020-02-05,0.0
27,United Kingdom,2020-02-05,0.030007501875468863
28,Poland,2020-02-06,0.0
29,Sweden,2020-02-06,0.09775171065493646
30,Switzerland,2020-02-06,0.0
31,United Kingdom,2020-02-06,0.030007501875468863
32,Poland,2020-02-07,0.0
33,Sweden,2020-02-07,0.09775171065493646
34,Switzerland,2020-02-07,0.0
35,United Kingdom,2020-02-07,0.0450112528132033
36,Poland,2020-02-08,0.0
37,Sweden,2020-02-08,0.09775171065493646
38,Switzerland,2020-02-08,0.0
39,United Kingdom,2020-02-08,0.0450112528132033
40,Poland,2020-02-09,0.0
41,Sweden,2020-02-09,0.09775171065493646
42,Switzerland,2020-02-09,0.0
43,United Kingdom,2020-02-09,0.0450112528132033
44,Poland,2020-02-10,0.0
45,Sweden,2020-02-10,0.09775171065493646
46,Switzerland,2020-02-10,0.0
47,United Kingdom,2020-02-10,0.12003000750187545
48,Poland,2020-02-11,0.0
49,Sweden,2020-02-11,0.09775171065493646
50,Switzerland,2020-02-11,0.0
51,United Kingdom,2020-02-11,0.12003000750187545
52,Poland,2020-02-12,0.0
53,Sweden,2020-02-12,0.09775171065493646
54,Switzerland,2020-02-12,0.0
55,United Kingdom,2020-02-12,0.13503375843960988
56,Poland,2020-02-13,0.0
57,Sweden,2020-02-13,0.09775171065493646
58,Switzerland,2020-02-13,0.0
59,United Kingdom,2020-02-13,0.13503375843960988
60,Poland,2020-02-14,0.0
61,Sweden,2020-02-14,0.09775171065493646
62,Switzerland,2020-02-14,0.0
63,United Kingdom,2020-02-14,0.13503375843960988
64,Poland,2020-02-15,0.0
65,Sweden,2020-02-15,0.09775171065493646
66,Switzerland,2020-02-15,0.0
67,United Kingdom,2020-02-15,0.13503375843960988
68,Poland,2020-02-16,0.0
69,Sweden,2020-02-16,0.09775171065493646
70,Switzerland,2020-02-16,0.0
71,United Kingdom,2020-02-16,0.13503375843960988
72,Poland,2020-02-17,0.0
73,Sweden,2020-02-17,0.09775171065493646
74,Switzerland,2020-02-17,0.0
75,United Kingdom,2020-02-17,0.13503375843960988
76,Poland,2020-02-18,0.0
77,Sweden,2020-02-18,0.09775171065493646
78,Switzerland,2020-02-18,0.0
79,United Kingdom,2020-02-18,0.13503375843960988
80,Poland,2020-02-19,0.0
81,Sweden,2020-02-19,0.09775171065493646
82,Switzerland,2020-02-19,0.0
83,United Kingdom,2020-02-19,0.13503375843960988
84,Poland,2020-02-20,0.0
85,Sweden,2020-02-20,0.09775171065493646
86,Switzerland,2020-02-20,0.0
87,United Kingdom,2020-02-20,0.13503375843960988
88,Poland,2020-02-21,0.0
89,Sweden,2020-02-21,0.09775171065493646
90,Switzerland,2020-02-21,0.0
91,United Kingdom,2020-02-21,0.13503375843960988
92,Poland,2020-02-22,0.0
93,Sweden,2020-02-22,0.09775171065493646
94,Switzerland,2020-02-22,0.0
95,United Kingdom,2020-02-22,0.13503375843960988
96,Poland,2020-02-23,0.0
97,Sweden,2020-02-23,0.09775171065493646
98,Switzerland,2020-02-23,0.0
99,United Kingdom,2020-02-23,0.13503375843960988
100,Poland,2020-02-24,0.0
101,Sweden,2020-02-24,0.09775171065493646
102,Switzerland,2020-02-24,0.0
103,United Kingdom,2020-02-24,0.19504876219054762
104,Poland,2020-02-25,0.0
105,Sweden,2020-02-25,0.09775171065493646
106,Switzerland,2020-02-25,0.11668611435239207
107,United Kingdom,2020-02-25,0.19504876219054762
108,Poland,2020-02-26,0.0
109,Sweden,2020-02-26,0.19550342130987292
110,Switzerland,2020-02-26,0.11668611435239207
111,United Kingdom,2020-02-26,0.19504876219054762
112,Poland,2020-02-27,0.0
113,Sweden,2020-02-27,0.6842619745845552
114,Switzerland,2020-02-27,0.9334889148191365
115,United Kingdom,2020-02-27,0.22505626406601648
116,Poland,2020-02-28,0.0
117,Sweden,2020-02-28,0.6842619745845552
118,Switzerland,2020-02-28,0.9334889148191365
119,United Kingdom,2020-02-28,0.30007501875468867
120,Poland,2020-02-29,0.0
121,Sweden,2020-02-29,1.1730205278592374
122,Switzerland,2020-02-29,2.100350058343057
123,United Kingdom,2020-02-29,0.34508627156789196
124,Poland,2020-03-01,0.0
125,Sweden,2020-03-01,1.3685239491691104
126,Switzerland,2020-03-01,3.150525087514586
127,United Kingdom,2020-03-01,0.5401350337584395
128,Poland,2020-03-02,0.0
129,Sweden,2020-03-02,1.466275659824047
130,Switzerland,2020-03-02,4.900816802800467
131,United Kingdom,2020-03-02,0.6001500375093773
132,Poland,2020-03-03,0.0
133,Sweden,2020-03-03,2.0527859237536656
134,Switzerland,2020-03-03,6.534422403733956
135,United Kingdom,2020-03-03,0.765191297824456
136,Poland,2020-03-04,0.02633658151171978
137,Sweden,2020-03-04,3.421309872922776
138,Switzerland,2020-03-04,10.501750291715286
139,United Kingdom,2020-03-04,1.2753188297074267
140,Poland,2020-03-05,0.02633658151171978
141,Sweden,2020-03-05,9.188660801564026
142,Switzerland,2020-03-05,13.302217036172696
143,United Kingdom,2020-03-05,1.7254313578394598
144,Poland,2020-03-06,0.1316829075585989
145,Sweden,2020-03-06,9.872922776148583
146,Switzerland,2020-03-06,24.970828471411902
147,United Kingdom,2020-03-06,2.4456114028507123
148,Poland,2020-03-07,0.1316829075585989
149,Sweden,2020-03-07,15.738025415444769
150,Switzerland,2020-03-07,31.271878646441074
151,United Kingdom,2020-03-07,3.090772693173293
152,Poland,2020-03-08,0.28970239662891756
153,Sweden,2020-03-08,19.843597262952102
154,Switzerland,2020-03-08,39.323220536756125
155,United Kingdom,2020-03-08,4.0960240060015
156,Poland,2020-03-09,0.42138530418751646
157,Sweden,2020-03-09,24.242424242424242
158,Switzerland,2020-03-09,43.64060676779463
159,United Kingdom,2020-03-09,4.816204051012753
160,Poland,2020-03-10,0.5794047932578351
161,Sweden,2020-03-10,34.701857282502445
162,Switzerland,2020-03-10,57.2928821470245
163,United Kingdom,2020-03-10,5.7314328582145535
164,Poland,2020-03-11,0.8164340268633131
165,Sweden,2020-03-11,48.87585532746823
166,Switzerland,2020-03-11,76.07934655775962
167,United Kingdom,2020-03-11,6.841710427606901
168,Poland,2020-03-12,1.2904924940742692
169,Sweden,2020-03-12,58.553274682306935
170,Switzerland,2020-03-12,76.07934655775962
171,United Kingdom,2020-03-12,6.841710427606901
172,Poland,2020-03-13,1.790887542796945
173,Sweden,2020-03-13,79.56989247311827
174,Switzerland,2020-03-13,132.90548424737455
175,United Kingdom,2020-03-13,11.972993248312077
176,Poland,2020-03-14,2.7126678957071375
177,Sweden,2020-03-14,93.93939393939394
178,Switzerland,2020-03-14,158.5764294049008
179,United Kingdom,2020-03-14,17.104276069017253
180,Poland,2020-03-15,3.134053199894654
181,Sweden,2020-03-15,99.90224828934505
182,Switzerland,2020-03-15,256.70945157526256
183,United Kingdom,2020-03-15,17.104276069017253
184,Poland,2020-03-16,4.661574927574401
185,Sweden,2020-03-16,107.82013685239491
186,Switzerland,2020-03-16,256.70945157526256
187,United Kingdom,2020-03-16,23.15078769692423
188,Poland,2020-03-17,6.268106399789308
189,Sweden,2020-03-17,116.32453567937438
190,Switzerland,2020-03-17,315.05250875145856
191,United Kingdom,2020-03-17,29.257314328582144
192,Poland,2020-03-18,6.610481959441665
193,Sweden,2020-03-18,125.02443792766373
194,Switzerland,2020-03-18,353.32555425904314
195,United Kingdom,2020-03-18,39.39984996249062
196,Poland,2020-03-19,9.349486436660522
197,Sweden,2020-03-19,140.66471163245356
198,Switzerland,2020-03-19,475.49591598599767
199,United Kingdom,2020-03-19,40.34508627156789
200,Poland,2020-03-20,11.193047142480907
201,Sweden,2020-03-20,160.21505376344086
202,Switzerland,2020-03-20,617.7362893815636
203,United Kingdom,2020-03-20,59.759939984996244
204,Poland,2020-03-21,14.116407690281802
205,Sweden,2020-03-21,172.336265884653
206,Switzerland,2020-03-21,767.2112018669778
207,United Kingdom,2020-03-21,75.28882220555138
208,Poland,2020-03-22,16.69739267843034
209,Sweden,2020-03-22,189.0518084066471
210,Switzerland,2020-03-22,872.1120186697783
211,United Kingdom,2020-03-22,85.26631657914479
212,Poland,2020-03-23,19.726099552278114
213,Sweden,2020-03-23,200.0
214,Switzerland,2020-03-23,1026.254375729288
215,United Kingdom,2020-03-23,99.77494373593397
216,Poland,2020-03-24,23.72925994205952
217,Sweden,2020-03-24,223.46041055718473
218,Switzerland,2020-03-24,1152.5087514585764
219,United Kingdom,2020-03-24,121.18529632408101
220,Poland,2020-03-25,27.67974716881749
221,Sweden,2020-03-25,246.9208211143695
222,Switzerland,2020-03-25,1271.5285880980164
223,United Kingdom,2020-03-25,142.9707426856714
224,Poland,2020-03-26,32.15696602580985
225,Sweden,2020-03-26,277.61485826001956
226,Switzerland,2020-03-26,1378.1796966161025
227,United Kingdom,2020-03-26,174.913728432108
228,Poland,2020-03-27,36.581511719778774
229,Sweden,2020-03-27,300.0
230,Switzerland,2020-03-27,1508.5180863477246
231,United Kingdom,2020-03-27,218.19954988747185
232,Poland,2020-03-28,43.139320516196996
233,Sweden,2020-03-28,336.95014662756597
234,Switzerland,2020-03-28,1642.4737456242706
235,United Kingdom,2020-03-28,256.3990997749437
236,Poland,2020-03-29,49.03871477482223
237,Sweden,2020-03-29,361.6813294232649
238,Switzerland,2020-03-29,1730.3383897316219
239,United Kingdom,2020-03-29,292.9032258064516
240,Poland,2020-03-30,54.12167500658415
241,Sweden,2020-03-30,393.7438905180841
242,Switzerland,2020-03-30,1857.8763127187865
243,United Kingdom,2020-03-30,332.1980495123781
244,Poland,2020-03-31,60.86383987358441
245,Sweden,2020-03-31,433.5288367546432
246,Switzerland,2020-03-31,1937.5729288214702
247,United Kingdom,2020-03-31,377.344336084021
248,Poland,2020-04-01,67.26362918093231
249,Sweden,2020-04-01,483.57771260997066
250,Switzerland,2020-04-01,2073.278879813302
251,United Kingdom,2020-04-01,442.2205551387847
252,Poland,2020-04-02,77.58756913352647
253,Sweden,2020-04-02,544.2815249266862
254,Switzerland,2020-04-02,2196.849474912485
255,United Kingdom,2020-04-02,505.89647411852957
256,Poland,2020-04-03,89.09665525414802
257,Sweden,2020-04-03,599.3157380254154
258,Switzerland,2020-04-03,2287.7479579929986
259,United Kingdom,2020-04-03,572.6631657914478
260,Poland,2020-04-04,95.52278114300763
261,Sweden,2020-04-04,629.8142717497556
262,Switzerland,2020-04-04,2392.648774795799
263,United Kingdom,2020-04-04,628.7021755438859
264,Poland,2020-04-05,108.03265736107454
265,Sweden,2020-04-05,667.644183773216
266,Switzerland,2020-04-05,2462.0770128354725
267,United Kingdom,2020-04-05,717.2693173293322
268,Poland,2020-04-06,116.22333421121938
269,Sweden,2020-04-06,704.3988269794721
270,Switzerland,2020-04-06,2527.071178529755
271,United Kingdom,2020-04-06,774.3135783945986
272,Poland,2020-04-07,127.67974716881749
273,Sweden,2020-04-07,752.0039100684262
274,Switzerland,2020-04-07,2596.6161026837804
275,United Kingdom,2020-04-07,828.8372093023255
276,Poland,2020-04-08,137.08190676850145
277,Sweden,2020-04-08,822.97165200391
278,Switzerland,2020-04-08,2716.452742123687
279,United Kingdom,2020-04-08,911.2228057014253
280,Poland,2020-04-09,146.82644192783778
281,Sweden,2020-04-09,893.5483870967741
282,Switzerland,2020-04-09,2806.4177362893815
283,United Kingdom,2020-04-09,976.3990997749437
284,Poland,2020-04-10,156.8343429022913
285,Sweden,2020-04-10,946.7253176930595
286,Switzerland,2020-04-10,2864.7607934655775
287,United Kingdom,2020-04-10,1106.6466616654163
288,Poland,2020-04-11,167.39531208849093
289,Sweden,2020-04-11,992.27761485826
290,Switzerland,2020-04-11,2929.6382730455075
291,United Kingdom,2020-04-11,1185.1612903225805
292,Poland,2020-04-12,175.7703450092178
293,Sweden,2020-04-12,1024.731182795699
294,Switzerland,2020-04-12,2965.577596266044
295,United Kingdom,2020-04-12,1264.5011252813201
296,Poland,2020-04-13,182.61785620226496
297,Sweden,2020-04-13,1070.1857282502444
298,Switzerland,2020-04-13,2997.4329054842474
299,United Kingdom,2020-04-13,1329.6474118529632
300,Poland,2020-04-14,189.67606004740585
301,Sweden,2020-04-14,1118.7683284457478
302,Switzerland,2020-04-14,3026.3710618436403
303,United Kingdom,2020-04-14,1408.4471117779444
304,Poland,2020-04-15,199.68396102185937
305,Sweden,2020-04-15,1165.884652981427
306,Switzerland,2020-04-15,3073.0455075845975
307,United Kingdom,2020-04-15,1477.509377344336
308,Poland,2020-04-16,208.53305240979722
309,Sweden,2020-04-16,1225.8064516129032
310,Switzerland,2020-04-16,3119.2532088681446
311,United Kingdom,2020-04-16,1546.7816954238558
312,Poland,2020-04-17,220.67421648670003
313,Sweden,2020-04-17,1291.8866080156401
314,Switzerland,2020-04-17,3159.6266044340723
315,United Kingdom,2020-04-17,1630.7876969242309
316,Poland,2020-04-18,230.2343955754543
317,Sweden,2020-04-18,1351.1241446725317
318,Switzerland,2020-04-18,3197.6662777129523
319,United Kingdom,2020-04-18,1713.6834208552136
320,Poland,2020-04-19,244.5878324993416
321,Sweden,2020-04-19,1406.1583577712609
322,Switzerland,2020-04-19,3236.8728121353556
323,United Kingdom,2020-04-19,1801.45536384096
324,Poland,2020-04-20,252.64682644192786
325,Sweden,2020-04-20,1444.477028347996
326,Switzerland,2020-04-20,3260.6767794632437
327,United Kingdom,2020-04-20,1871.6129032258063
328,Poland,2020-04-21,259.57334737951015
329,Sweden,2020-04-21,1497.7517106549365
330,Switzerland,2020-04-21,3274.5624270711783
331,United Kingdom,2020-04-21,1936.144036009002
332,Poland,2020-04-22,267.81669739267846
333,Sweden,2020-04-22,1564.418377321603
334,Switzerland,2020-04-22,3298.483080513419
335,United Kingdom,2020-04-22,2002.9257314328581
336,Poland,2020-04-23,276.8238082696866
337,Sweden,2020-04-23,1637.8299120234603
338,Switzerland,2020-04-23,3325.087514585764
339,United Kingdom,2020-04-23,2071.687921980495
340,Poland,2020-04-24,286.85804582565186
341,Sweden,2020-04-24,1717.2043010752689
342,Switzerland,2020-04-24,3346.207701283547
343,United Kingdom,2020-04-24,2152.498124531133
344,Poland,2020-04-25,296.89228338161706
345,Sweden,2020-04-25,1776.83284457478
346,Switzerland,2020-04-25,3371.5285880980164
347,United Kingdom,2020-04-25,2226.211552888222
348,Poland,2020-04-26,305.9520674216487
349,Sweden,2020-04-26,1822.0918866080156
350,Switzerland,2020-04-26,3391.015169194866
351,United Kingdom,2020-04-26,2293.1732933233307
352,Poland,2020-04-27,313.4579931524888
353,Sweden,2020-04-27,1850.0488758553274
354,Switzerland,2020-04-27,3403.033838973162
355,United Kingdom,2020-04-27,2357.824456114028
356,Poland,2020-04-28,321.7803529101923
357,Sweden,2020-04-28,1917.9863147605083
358,Switzerland,2020-04-28,3414.702450408401
359,United Kingdom,2020-04-28,2417.7794448612153
360,Poland,2020-04-29,332.894390308138
361,Sweden,2020-04-29,1984.55522971652
362,Switzerland,2020-04-29,3431.3885647607935
363,United Kingdom,2020-04-29,2478.9347336834207
364,Poland,2020-04-30,339.1361601264156
365,Sweden,2020-04-30,2061.7790811339196
366,Switzerland,2020-04-30,3452.2753792298713
367,United Kingdom,2020-04-30,2569.4373593398345
368,Poland,2020-05-01,345.14090071108774
369,Sweden,2020-05-01,2103.6168132942325
370,Switzerland,2020-05-01,3466.1610268378063
371,United Kingdom,2020-05-01,2662.475618904726
372,Poland,2020-05-02,352.25177771925206
373,Sweden,2020-05-02,2158.553274682307
374,Switzerland,2020-05-02,3479.229871645274
375,United Kingdom,2020-05-02,2734.5836459114776
376,Poland,2020-05-03,360.62681063997894
377,Sweden,2020-05-03,2181.524926686217
378,Switzerland,2020-05-03,3489.4982497082847
379,United Kingdom,2020-05-03,2799.6849212303073
380,Poland,2020-05-04,368.87016065314725
381,Sweden,2020-05-04,2221.0166177908113
382,Switzerland,2020-05-04,3498.3663943990664
383,United Kingdom,2020-05-04,2859.474868717179
384,Poland,2020-05-05,380.06320779562816
385,Sweden,2020-05-05,2269.403714565005
386,Switzerland,2020-05-05,3501.633605600933
387,United Kingdom,2020-05-05,2925.581395348837
388,Poland,2020-05-06,388.20121148274956
389,Sweden,2020-05-06,2338.0254154447703
390,Switzerland,2020-05-06,3507.5845974329054
391,United Kingdom,2020-05-06,3017.269317329332
